state,Organization_type,level,year,gender,race
Alabama,Private for-profit,2-year,2006,Male,Hispanic
Alabama,Private for-profit,2-year,2006,Male,Unspecified
Alabama,Private for-profit,2-year,2006,Male,White
Alabama,Private for-profit,2-year,2007,Both Gender,American Indian
Alabama,Private for-profit,2-year,2007,Both Gender,Asian
Alabama,Private for-profit,2-year,2007,Both Gender,Black
Alabama,Private for-profit,2-year,2007,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2007,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2007,Both Gender,White
Alabama,Private for-profit,2-year,2007,Female,American Indian
Alabama,Private for-profit,2-year,2007,Female,Asian
Alabama,Private for-profit,2-year,2007,Female,Black
Alabama,Private for-profit,2-year,2007,Female,Hispanic
Alabama,Private for-profit,2-year,2007,Female,Unspecified
Alabama,Private for-profit,2-year,2007,Female,White
Alabama,Private for-profit,2-year,2007,Male,American Indian
Alabama,Private for-profit,2-year,2007,Male,Asian
Alabama,Private for-profit,2-year,2007,Male,Black
Alabama,Private for-profit,2-year,2007,Male,Hispanic
Alabama,Private for-profit,2-year,2007,Male,Unspecified
Alabama,Private for-profit,2-year,2007,Male,White
Alabama,Private for-profit,2-year,2008,Both Gender,American Indian
Alabama,Private for-profit,2-year,2008,Both Gender,Asian
Alabama,Private for-profit,2-year,2008,Both Gender,Black
Alabama,Private for-profit,2-year,2008,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2008,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2008,Both Gender,White
Alabama,Private for-profit,2-year,2008,Female,American Indian
Alabama,Private for-profit,2-year,2008,Female,Asian
Alabama,Private for-profit,2-year,2008,Female,Black
Alabama,Private for-profit,2-year,2008,Female,Hispanic
Alabama,Private for-profit,2-year,2008,Female,Unspecified
Alabama,Private for-profit,2-year,2008,Female,White
Alabama,Private for-profit,2-year,2008,Male,American Indian
Alabama,Private for-profit,2-year,2008,Male,Asian
Alabama,Private for-profit,2-year,2008,Male,Black
Alabama,Private for-profit,2-year,2008,Male,Hispanic
Alabama,Private for-profit,2-year,2008,Male,Unspecified
Alabama,Private for-profit,2-year,2008,Male,White
Alabama,Private for-profit,2-year,2009,Both Gender,American Indian
Alabama,Private for-profit,2-year,2009,Both Gender,Asian
Alabama,Private for-profit,2-year,2009,Both Gender,Black
Alabama,Private for-profit,2-year,2009,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2009,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2009,Both Gender,White
Alabama,Private for-profit,2-year,2009,Female,American Indian
Alabama,Private for-profit,2-year,2009,Female,Asian
Alabama,Private for-profit,2-year,2009,Female,Black
Alabama,Private for-profit,2-year,2009,Female,Hispanic
Alabama,Private for-profit,2-year,2009,Female,Unspecified
Alabama,Private for-profit,2-year,2009,Female,White
Alabama,Private for-profit,2-year,2009,Male,American Indian
Alabama,Private for-profit,2-year,2009,Male,Asian
Alabama,Private for-profit,2-year,2009,Male,Black
Alabama,Private for-profit,2-year,2009,Male,Hispanic
Alabama,Private for-profit,2-year,2009,Male,Unspecified
Alabama,Private for-profit,2-year,2009,Male,White
Alabama,Private for-profit,2-year,2010,Both Gender,American Indian
Alabama,Private for-profit,2-year,2010,Both Gender,Asian
Alabama,Private for-profit,2-year,2010,Both Gender,Black
Alabama,Private for-profit,2-year,2010,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2010,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2010,Both Gender,White
Alabama,Private for-profit,2-year,2010,Female,American Indian
Alabama,Private for-profit,2-year,2010,Female,Asian
Alabama,Private for-profit,2-year,2010,Female,Black
Alabama,Private for-profit,2-year,2010,Female,Hispanic
Alabama,Private for-profit,2-year,2010,Female,Unspecified
Alabama,Private for-profit,2-year,2010,Female,White
Alabama,Private for-profit,2-year,2010,Male,American Indian
Alabama,Private for-profit,2-year,2010,Male,Asian
Alabama,Private for-profit,2-year,2010,Male,Black
Alabama,Private for-profit,2-year,2010,Male,Hispanic
Alabama,Private for-profit,2-year,2010,Male,Unspecified
Alabama,Private for-profit,2-year,2010,Male,White
Alabama,Private for-profit,2-year,2011,Both Gender,American Indian
Alabama,Private for-profit,2-year,2011,Both Gender,Asian
Alabama,Private for-profit,2-year,2011,Both Gender,Black
Alabama,Private for-profit,2-year,2011,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2011,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2011,Both Gender,White
Alabama,Private for-profit,2-year,2011,Female,American Indian
Alabama,Private for-profit,2-year,2011,Female,Asian
Alabama,Private for-profit,2-year,2011,Female,Black
Alabama,Private for-profit,2-year,2011,Female,Hispanic
Alabama,Private for-profit,2-year,2011,Female,Unspecified
Alabama,Private for-profit,2-year,2011,Female,White
Alabama,Private for-profit,2-year,2011,Male,American Indian
Alabama,Private for-profit,2-year,2011,Male,Asian
Alabama,Private for-profit,2-year,2011,Male,Black
Alabama,Private for-profit,2-year,2011,Male,Hispanic
Alabama,Private for-profit,2-year,2011,Male,Unspecified
Alabama,Private for-profit,2-year,2011,Male,White
Alabama,Private for-profit,2-year,2012,Both Gender,American Indian
Alabama,Private for-profit,2-year,2012,Both Gender,Asian
Alabama,Private for-profit,2-year,2012,Both Gender,Black
Alabama,Private for-profit,2-year,2012,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2012,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2012,Both Gender,White
Alabama,Private for-profit,2-year,2012,Female,American Indian
Alabama,Private for-profit,2-year,2012,Female,Asian
Alabama,Private for-profit,2-year,2012,Female,Black
Alabama,Private for-profit,2-year,2012,Female,Hispanic
Alabama,Private for-profit,2-year,2012,Female,Unspecified
Alabama,Private for-profit,2-year,2012,Female,White
Alabama,Private for-profit,2-year,2012,Male,American Indian
Alabama,Private for-profit,2-year,2012,Male,Asian
Alabama,Private for-profit,2-year,2012,Male,Black
Alabama,Private for-profit,2-year,2012,Male,Hispanic
Alabama,Private for-profit,2-year,2012,Male,Unspecified
Alabama,Private for-profit,2-year,2012,Male,White
Alabama,Private for-profit,2-year,2013,Both Gender,American Indian
Alabama,Private for-profit,2-year,2013,Both Gender,Asian
Alabama,Private for-profit,2-year,2013,Both Gender,Black
Alabama,Private for-profit,2-year,2013,Both Gender,Hispanic
Alabama,Private for-profit,2-year,2013,Both Gender,Unspecified
Alabama,Private for-profit,2-year,2013,Both Gender,White
Alabama,Private for-profit,2-year,2013,Female,American Indian
Alabama,Private for-profit,2-year,2013,Female,Asian
Alabama,Private for-profit,2-year,2013,Female,Black
Alabama,Private for-profit,2-year,2013,Female,Hispanic
Alabama,Private for-profit,2-year,2013,Female,Unspecified
Alabama,Private for-profit,2-year,2013,Female,White
Alabama,Private for-profit,2-year,2013,Male,American Indian
Alabama,Private for-profit,2-year,2013,Male,Asian
Alabama,Private for-profit,2-year,2013,Male,Black
Alabama,Private for-profit,2-year,2013,Male,Hispanic
Alabama,Private for-profit,2-year,2013,Male,Unspecified
Alabama,Private for-profit,2-year,2013,Male,White
Alabama,Private for-profit,4-year,2002,Both Gender,American Indian
Alabama,Private for-profit,4-year,2002,Both Gender,Asian
Alabama,Private for-profit,4-year,2002,Both Gender,Black
Alabama,Private for-profit,4-year,2002,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2002,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2002,Both Gender,White
Alabama,Private for-profit,4-year,2002,Female,American Indian
Alabama,Private for-profit,4-year,2002,Female,Asian
Alabama,Private for-profit,4-year,2002,Female,Black
Alabama,Private for-profit,4-year,2002,Female,Hispanic
Alabama,Private for-profit,4-year,2002,Female,Unspecified
Alabama,Private for-profit,4-year,2002,Female,White
Alabama,Private for-profit,4-year,2002,Male,American Indian
Alabama,Private for-profit,4-year,2002,Male,Asian
Alabama,Private for-profit,4-year,2002,Male,Black
Alabama,Private for-profit,4-year,2002,Male,Hispanic
Alabama,Private for-profit,4-year,2002,Male,Unspecified
Alabama,Private for-profit,4-year,2002,Male,White
Alabama,Private for-profit,4-year,2003,Both Gender,American Indian
Alabama,Private for-profit,4-year,2003,Both Gender,Asian
Alabama,Private for-profit,4-year,2003,Both Gender,Black
Alabama,Private for-profit,4-year,2003,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2003,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2003,Both Gender,White
Alabama,Private for-profit,4-year,2003,Female,American Indian
Alabama,Private for-profit,4-year,2003,Female,Asian
Alabama,Private for-profit,4-year,2003,Female,Black
Alabama,Private for-profit,4-year,2003,Female,Hispanic
Alabama,Private for-profit,4-year,2003,Female,Unspecified
Alabama,Private for-profit,4-year,2003,Female,White
Alabama,Private for-profit,4-year,2003,Male,American Indian
Alabama,Private for-profit,4-year,2003,Male,Asian
Alabama,Private for-profit,4-year,2003,Male,Black
Alabama,Private for-profit,4-year,2003,Male,Hispanic
Alabama,Private for-profit,4-year,2003,Male,Unspecified
Alabama,Private for-profit,4-year,2003,Male,White
Alabama,Private for-profit,4-year,2004,Both Gender,American Indian
Alabama,Private for-profit,4-year,2004,Both Gender,Asian
Alabama,Private for-profit,4-year,2004,Both Gender,Black
Alabama,Private for-profit,4-year,2004,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2004,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2004,Both Gender,White
Alabama,Private for-profit,4-year,2004,Female,American Indian
Alabama,Private for-profit,4-year,2004,Female,Asian
Alabama,Private for-profit,4-year,2004,Female,Black
Alabama,Private for-profit,4-year,2004,Female,Hispanic
Alabama,Private for-profit,4-year,2004,Female,Unspecified
Alabama,Private for-profit,4-year,2004,Female,White
Alabama,Private for-profit,4-year,2004,Male,American Indian
Alabama,Private for-profit,4-year,2004,Male,Asian
Alabama,Private for-profit,4-year,2004,Male,Black
Alabama,Private for-profit,4-year,2004,Male,Hispanic
Alabama,Private for-profit,4-year,2004,Male,Unspecified
Alabama,Private for-profit,4-year,2004,Male,White
Alabama,Private for-profit,4-year,2005,Both Gender,American Indian
Alabama,Private for-profit,4-year,2005,Both Gender,Asian
Alabama,Private for-profit,4-year,2005,Both Gender,Black
Alabama,Private for-profit,4-year,2005,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2005,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2005,Both Gender,White
Alabama,Private for-profit,4-year,2005,Female,American Indian
Alabama,Private for-profit,4-year,2005,Female,Asian
Alabama,Private for-profit,4-year,2005,Female,Black
Alabama,Private for-profit,4-year,2005,Female,Hispanic
Alabama,Private for-profit,4-year,2005,Female,Unspecified
Alabama,Private for-profit,4-year,2005,Female,White
Alabama,Private for-profit,4-year,2005,Male,American Indian
Alabama,Private for-profit,4-year,2005,Male,Asian
Alabama,Private for-profit,4-year,2005,Male,Black
Alabama,Private for-profit,4-year,2005,Male,Hispanic
Alabama,Private for-profit,4-year,2005,Male,Unspecified
Alabama,Private for-profit,4-year,2005,Male,White
Alabama,Private for-profit,4-year,2006,Both Gender,American Indian
Alabama,Private for-profit,4-year,2006,Both Gender,Asian
Alabama,Private for-profit,4-year,2006,Both Gender,Black
Alabama,Private for-profit,4-year,2006,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2006,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2006,Both Gender,White
Alabama,Private for-profit,4-year,2006,Female,American Indian
Alabama,Private for-profit,4-year,2006,Female,Asian
Alabama,Private for-profit,4-year,2006,Female,Black
Alabama,Private for-profit,4-year,2006,Female,Hispanic
Alabama,Private for-profit,4-year,2006,Female,Unspecified
Alabama,Private for-profit,4-year,2006,Female,White
Alabama,Private for-profit,4-year,2006,Male,American Indian
Alabama,Private for-profit,4-year,2006,Male,Asian
Alabama,Private for-profit,4-year,2006,Male,Black
Alabama,Private for-profit,4-year,2006,Male,Hispanic
Alabama,Private for-profit,4-year,2006,Male,Unspecified
Alabama,Private for-profit,4-year,2006,Male,White
Alabama,Private for-profit,4-year,2007,Both Gender,American Indian
Alabama,Private for-profit,4-year,2007,Both Gender,Asian
Alabama,Private for-profit,4-year,2007,Both Gender,Black
Alabama,Private for-profit,4-year,2007,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2007,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2007,Both Gender,White
Alabama,Private for-profit,4-year,2007,Female,American Indian
Alabama,Private for-profit,4-year,2007,Female,Asian
Alabama,Private for-profit,4-year,2007,Female,Black
Alabama,Private for-profit,4-year,2007,Female,Hispanic
Alabama,Private for-profit,4-year,2007,Female,Unspecified
Alabama,Private for-profit,4-year,2007,Female,White
Alabama,Private for-profit,4-year,2007,Male,American Indian
Alabama,Private for-profit,4-year,2007,Male,Asian
Alabama,Private for-profit,4-year,2007,Male,Black
Alabama,Private for-profit,4-year,2007,Male,Hispanic
Alabama,Private for-profit,4-year,2007,Male,Unspecified
Alabama,Private for-profit,4-year,2007,Male,White
Alabama,Private for-profit,4-year,2008,Both Gender,American Indian
Alabama,Private for-profit,4-year,2008,Both Gender,Asian
Alabama,Private for-profit,4-year,2008,Both Gender,Black
Alabama,Private for-profit,4-year,2008,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2008,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2008,Both Gender,White
Alabama,Private for-profit,4-year,2008,Female,American Indian
Alabama,Private for-profit,4-year,2008,Female,Asian
Alabama,Private for-profit,4-year,2008,Female,Black
Alabama,Private for-profit,4-year,2008,Female,Hispanic
Alabama,Private for-profit,4-year,2008,Female,Unspecified
Alabama,Private for-profit,4-year,2008,Female,White
Alabama,Private for-profit,4-year,2008,Male,American Indian
Alabama,Private for-profit,4-year,2008,Male,Asian
Alabama,Private for-profit,4-year,2008,Male,Black
Alabama,Private for-profit,4-year,2008,Male,Hispanic
Alabama,Private for-profit,4-year,2008,Male,Unspecified
Alabama,Private for-profit,4-year,2008,Male,White
Alabama,Private for-profit,4-year,2009,Both Gender,American Indian
Alabama,Private for-profit,4-year,2009,Both Gender,Asian
Alabama,Private for-profit,4-year,2009,Both Gender,Black
Alabama,Private for-profit,4-year,2009,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2009,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2009,Both Gender,White
Alabama,Private for-profit,4-year,2009,Female,American Indian
Alabama,Private for-profit,4-year,2009,Female,Asian
Alabama,Private for-profit,4-year,2009,Female,Black
Alabama,Private for-profit,4-year,2009,Female,Hispanic
Alabama,Private for-profit,4-year,2009,Female,Unspecified
Alabama,Private for-profit,4-year,2009,Female,White
Alabama,Private for-profit,4-year,2009,Male,American Indian
Alabama,Private for-profit,4-year,2009,Male,Asian
Alabama,Private for-profit,4-year,2009,Male,Black
Alabama,Private for-profit,4-year,2009,Male,Hispanic
Alabama,Private for-profit,4-year,2009,Male,Unspecified
Alabama,Private for-profit,4-year,2009,Male,White
Alabama,Private for-profit,4-year,2010,Both Gender,American Indian
Alabama,Private for-profit,4-year,2010,Both Gender,Asian
Alabama,Private for-profit,4-year,2010,Both Gender,Black
Alabama,Private for-profit,4-year,2010,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2010,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2010,Both Gender,White
Alabama,Private for-profit,4-year,2010,Female,American Indian
Alabama,Private for-profit,4-year,2010,Female,Asian
Alabama,Private for-profit,4-year,2010,Female,Black
Alabama,Private for-profit,4-year,2010,Female,Hispanic
Alabama,Private for-profit,4-year,2010,Female,Unspecified
Alabama,Private for-profit,4-year,2010,Female,White
Alabama,Private for-profit,4-year,2010,Male,American Indian
Alabama,Private for-profit,4-year,2010,Male,Asian
Alabama,Private for-profit,4-year,2010,Male,Black
Alabama,Private for-profit,4-year,2010,Male,Hispanic
Alabama,Private for-profit,4-year,2010,Male,Unspecified
Alabama,Private for-profit,4-year,2010,Male,White
Alabama,Private for-profit,4-year,2011,Both Gender,American Indian
Alabama,Private for-profit,4-year,2011,Both Gender,Asian
Alabama,Private for-profit,4-year,2011,Both Gender,Black
Alabama,Private for-profit,4-year,2011,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2011,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2011,Both Gender,White
Alabama,Private for-profit,4-year,2011,Female,American Indian
Alabama,Private for-profit,4-year,2011,Female,Asian
Alabama,Private for-profit,4-year,2011,Female,Black
Alabama,Private for-profit,4-year,2011,Female,Hispanic
Alabama,Private for-profit,4-year,2011,Female,Unspecified
Alabama,Private for-profit,4-year,2011,Female,White
Alabama,Private for-profit,4-year,2011,Male,American Indian
Alabama,Private for-profit,4-year,2011,Male,Asian
Alabama,Private for-profit,4-year,2011,Male,Black
Alabama,Private for-profit,4-year,2011,Male,Hispanic
Alabama,Private for-profit,4-year,2011,Male,Unspecified
Alabama,Private for-profit,4-year,2011,Male,White
Alabama,Private for-profit,4-year,2012,Both Gender,American Indian
Alabama,Private for-profit,4-year,2012,Both Gender,Asian
Alabama,Private for-profit,4-year,2012,Both Gender,Black
Alabama,Private for-profit,4-year,2012,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2012,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2012,Both Gender,White
Alabama,Private for-profit,4-year,2012,Female,American Indian
Alabama,Private for-profit,4-year,2012,Female,Asian
Alabama,Private for-profit,4-year,2012,Female,Black
Alabama,Private for-profit,4-year,2012,Female,Hispanic
Alabama,Private for-profit,4-year,2012,Female,Unspecified
Alabama,Private for-profit,4-year,2012,Female,White
Alabama,Private for-profit,4-year,2012,Male,American Indian
Alabama,Private for-profit,4-year,2012,Male,Asian
Alabama,Private for-profit,4-year,2012,Male,Black
Alabama,Private for-profit,4-year,2012,Male,Hispanic
Alabama,Private for-profit,4-year,2012,Male,Unspecified
Alabama,Private for-profit,4-year,2012,Male,White
Alabama,Private for-profit,4-year,2013,Both Gender,American Indian
Alabama,Private for-profit,4-year,2013,Both Gender,Asian
Alabama,Private for-profit,4-year,2013,Both Gender,Black
Alabama,Private for-profit,4-year,2013,Both Gender,Hispanic
Alabama,Private for-profit,4-year,2013,Both Gender,Unspecified
Alabama,Private for-profit,4-year,2013,Both Gender,White
Alabama,Private for-profit,4-year,2013,Female,American Indian
Alabama,Private for-profit,4-year,2013,Female,Asian
Alabama,Private for-profit,4-year,2013,Female,Black
Alabama,Private for-profit,4-year,2013,Female,Hispanic
Alabama,Private for-profit,4-year,2013,Female,Unspecified
Alabama,Private for-profit,4-year,2013,Female,White
Alabama,Private for-profit,4-year,2013,Male,American Indian
Alabama,Private for-profit,4-year,2013,Male,Asian
Alabama,Private for-profit,4-year,2013,Male,Black
Alabama,Private for-profit,4-year,2013,Male,Hispanic
Alabama,Private for-profit,4-year,2013,Male,Unspecified
Alabama,Private for-profit,4-year,2013,Male,White
Alabama,Private not-for-profit,2-year,2011,Both Gender,American Indian
Alabama,Private not-for-profit,2-year,2011,Both Gender,Asian
Alabama,Private not-for-profit,2-year,2011,Both Gender,Black
Alabama,Private not-for-profit,2-year,2011,Both Gender,Hispanic
Alabama,Private not-for-profit,2-year,2011,Both Gender,Unspecified
Alabama,Private not-for-profit,2-year,2011,Both Gender,White
Alabama,Private not-for-profit,2-year,2011,Female,American Indian
Alabama,Private not-for-profit,2-year,2011,Female,Asian
Alabama,Private not-for-profit,2-year,2011,Female,Black
Alabama,Private not-for-profit,2-year,2011,Female,Hispanic
Alabama,Private not-for-profit,2-year,2011,Female,Unspecified
Alabama,Private not-for-profit,2-year,2011,Female,White
Alabama,Private not-for-profit,2-year,2011,Male,American Indian
Alabama,Private not-for-profit,2-year,2011,Male,Asian
Alabama,Private not-for-profit,2-year,2011,Male,Black
Alabama,Private not-for-profit,2-year,2011,Male,Hispanic
Alabama,Private not-for-profit,2-year,2011,Male,Unspecified
Alabama,Private not-for-profit,2-year,2011,Male,White
Alabama,Private not-for-profit,2-year,2012,Both Gender,American Indian
Alabama,Private not-for-profit,2-year,2012,Both Gender,Asian
Alabama,Private not-for-profit,2-year,2012,Both Gender,Black
Alabama,Private not-for-profit,2-year,2012,Both Gender,Hispanic
Alabama,Private not-for-profit,2-year,2012,Both Gender,Unspecified
Alabama,Private not-for-profit,2-year,2012,Both Gender,White
Alabama,Private not-for-profit,2-year,2012,Female,American Indian
Alabama,Private not-for-profit,2-year,2012,Female,Asian
Alabama,Private not-for-profit,2-year,2012,Female,Black
Alabama,Private not-for-profit,2-year,2012,Female,Hispanic
Alabama,Private not-for-profit,2-year,2012,Female,Unspecified
Alabama,Private not-for-profit,2-year,2012,Female,White
Alabama,Private not-for-profit,2-year,2012,Male,American Indian
Alabama,Private not-for-profit,2-year,2012,Male,Asian
Alabama,Private not-for-profit,2-year,2012,Male,Black
Alabama,Private not-for-profit,2-year,2012,Male,Hispanic
Alabama,Private not-for-profit,2-year,2012,Male,Unspecified
Alabama,Private not-for-profit,2-year,2012,Male,White
Alabama,Private not-for-profit,2-year,2013,Both Gender,American Indian
Alabama,Private not-for-profit,2-year,2013,Both Gender,Asian
Alabama,Private not-for-profit,2-year,2013,Both Gender,Black
Alabama,Private not-for-profit,2-year,2013,Both Gender,Hispanic
Alabama,Private not-for-profit,2-year,2013,Both Gender,Unspecified
Alabama,Private not-for-profit,2-year,2013,Both Gender,White
Alabama,Private not-for-profit,2-year,2013,Female,American Indian
Alabama,Private not-for-profit,2-year,2013,Female,Asian
Alabama,Private not-for-profit,2-year,2013,Female,Black
Alabama,Private not-for-profit,2-year,2013,Female,Hispanic
Alabama,Private not-for-profit,2-year,2013,Female,Unspecified
Alabama,Private not-for-profit,2-year,2013,Female,White
Alabama,Private not-for-profit,2-year,2013,Male,American Indian
Alabama,Private not-for-profit,2-year,2013,Male,Asian
Alabama,Private not-for-profit,2-year,2013,Male,Black
Alabama,Private not-for-profit,2-year,2013,Male,Hispanic
Alabama,Private not-for-profit,2-year,2013,Male,Unspecified
Alabama,Private not-for-profit,2-year,2013,Male,White
Alabama,Private not-for-profit,4-year,2002,Both Gender,American Indian
Alabama,Private not-for-profit,4-year,2002,Both Gender,Asian
Alabama,Private not-for-profit,4-year,2002,Both Gender,Black
Alabama,Private not-for-profit,4-year,2002,Both Gender,Hispanic
Alabama,Private not-for-profit,4-year,2002,Both Gender,Unspecified
Alabama,Private not-for-profit,4-year,2002,Both Gender,White
Alabama,Private not-for-profit,4-year,2002,Female,American Indian
Alabama,Private not-for-profit,4-year,2002,Female,Asian
Alabama,Private not-for-profit,4-year,2002,Female,Black
Alabama,Private not-for-profit,4-year,2002,Female,Hispanic
Alabama,Private not-for-profit,4-year,2002,Female,Unspecified
Alabama,Private not-for-profit,4-year,2002,Female,White
Alabama,Private not-for-profit,4-year,2002,Male,American Indian
Alabama,Private not-for-profit,4-year,2002,Male,Asian
Alabama,Private not-for-profit,4-year,2002,Male,Black
Alabama,Private not-for-profit,4-year,2002,Male,Hispanic
Alabama,Private not-for-profit,4-year,2002,Male,Unspecified
Alabama,Private not-for-profit,4-year,2002,Male,White
Alabama,Private not-for-profit,4-year,2003,Both Gender,American Indian
