state,program_type,grad_100,grad_100_rate
Alabama,4y bach,51.9,34.02
Alabama,4y bach,24.65,33.34
Alabama,4y bach,30.69,34.16
Alabama,4y bach,23.03,39.55
Alabama,4y bach,42.02,42.6
Alabama,4y bach,52.36,33.77
Alabama,4y bach,55.02,33.59
Alabama,4y bach,57.59,39.22
Alabama,4y bach,39.88,36.63
Alabama,4y bach,25.53,34.87
Alabama,4y bach,36.54,35.54
Alabama,4y bach,30.16,42.18
Alabama,4y bach,67.13,34.39
Alabama,4y bach,24.47,34.1
Alabama,4y bach,30.43,34.11
Alabama,4y bach,44.45,39.93
Alabama,4y bach,42.61,37.83
Alabama,4y bach,53.97,40.61
Alabama,4y bach,49.15,37.18
Alabama,4y bach,58.48,40.33
Alabama,4y bach,54.97,35.06
Alabama,4y bach,49.99,33.88
Alabama,4y bach,53.52,36.95
Alabama,4y bach,61.3,37.23
Alabama,4y bach,59.55,42.09
Alabama,4y bach,24.47,40.23
Alabama,4y bach,58.14,36.31
Alabama,4y bach,57.07,37.71
Alabama,4y bach,49.83,34.07
Alabama,4y bach,51.74,39.87
Alabama,4y bach,41.88,42.15
Alabama,4y bach,63.17,37.48
Alabama,4y bach,49.04,39.94
Alabama,4y bach,60.91,38.16
Alabama,4y bach,32.87,34.03
Alabama,4y bach,42.97,37.67
Alabama,4y bach,28.65,40.33
Alabama,4y bach,26.26,35.49
Alabama,4y bach,30.26,40.03
Alabama,4y bach,48.76,34.92
Alabama,4y bach,45.86,41.65
Alabama,4y bach,49.27,42.74
Alabama,4y bach,26.51,36.65
Alabama,4y bach,41,38.12
Alabama,4y bach,67.81,42.47
Alabama,4y bach,39.39,38.49
Alabama,4y bach,51.52,35.86
Alabama,4y bach,38.67,41.92
Alabama,4y bach,23.88,38.13
Alabama,4y bach,27.88,42.8
Alabama,4y bach,60.87,41.39
Alabama,4y bach,41.68,39.34
Alabama,4y bach,23.19,39.6
Alabama,4y bach,58.42,34.99
Alabama,4y bach,56.77,38.91
Alabama,4y bach,41.14,37.42
Alabama,4y bach,24.6,42.05
Alabama,4y bach,59.2,37.32
Alabama,4y bach,39.45,38.67
Alabama,4y bach,28.99,37.57
Alabama,4y bach,25.99,39.19
Alabama,4y bach,37.04,37.44
Alabama,4y bach,37.83,39.45
Alabama,4y bach,30.12,38
Alabama,4y bach,67.93,35.41
Alabama,4y bach,63.9,41.99
Alabama,4y bach,38.53,41
Alabama,4y bach,47.83,33.27
Alaska,4y bach,25.74,40.78
Alaska,4y bach,35.17,39.14
Alaska,4y bach,51.23,38.81
Alaska,4y bach,54.05,39.78
Alaska,4y bach,61.75,38.89
Alaska,4y bach,39.09,36.42
Alaska,4y bach,28.97,41.06
Alaska,4y bach,56.81,37.15
Alaska,4y bach,66.32,41.25
Alaska,4y bach,49.97,39.4
Alaska,4y bach,46.4,38.54
Alaska,4y bach,23.41,38.1
Alaska,4y bach,66.05,42.54
Alaska,4y bach,29.14,42.03
Alaska,4y bach,25.64,33.78
Alaska,4y bach,44.33,33.8
Alaska,4y bach,35.28,38
Alaska,4y bach,59.01,40
Alaska,4y bach,35.24,42.95
Alaska,4y bach,41.33,39.84
Alaska,4y bach,55.27,35.42
Alaska,4y bach,52.73,36.26
Alaska,4y bach,26.71,36.01
Alaska,4y bach,28.04,42.02
Alaska,4y bach,35.14,33.61
Alaska,4y bach,37.11,33.14
Alaska,4y bach,23.54,34.18
Alaska,4y bach,61.27,33.08
Alaska,4y bach,62.67,42.62
Alaska,4y bach,28.09,36.18
Alaska,4y bach,35.46,37.31
Alaska,4y bach,29.75,37.68
Alaska,4y bach,41.75,39.05
Alaska,4y bach,49.69,37.72
Alaska,4y bach,36.38,34.59
Alaska,4y bach,54.95,42.31
Alaska,4y bach,39.42,34.22
Alaska,4y bach,25.31,39.8
Alaska,4y bach,50.87,40.78
Alaska,4y bach,49.13,38.21
Alaska,4y bach,44.33,33.71
Alaska,4y bach,58.77,38.64
Alaska,4y bach,41.95,33.2
Alaska,4y bach,39.88,34.16
Alaska,4y bach,40.13,38.47
Alaska,4y bach,47.98,37.94
Alaska,4y bach,67.54,42.43
Alaska,4y bach,59.88,41.13
Alaska,4y bach,62.56,40.01
Alaska,4y bach,32.36,36.25
Alaska,4y bach,46.88,37.82
Alaska,4y bach,63.7,41.05
Alaska,4y bach,40.82,39.93
Alaska,4y bach,57.22,39.6
Alaska,4y bach,54.23,34.72
Alaska,4y bach,57.47,39.35
Alaska,4y bach,42.64,35.55
Alaska,4y bach,48.35,38.96
Alaska,4y bach,50.18,38.11
Alaska,4y bach,35.9,36.11
Alaska,4y bach,48.39,37.63
Alaska,4y bach,56.68,33.51
Alaska,4y bach,27.09,38.11
Alaska,4y bach,60.06,39.15
Alaska,4y bach,55.9,41.63
Alaska,4y bach,60.5,35.55
Alaska,4y bach,56.75,37.05
Alaska,4y bach,66.13,33.63
Alaska,4y bach,63.42,38.45
Alaska,4y bach,43.52,40.81
Alaska,4y bach,60.05,35.73
Alaska,4y bach,43.48,42.6
Alaska,4y bach,47.39,42.83
Alaska,4y bach,63.36,35.24
Alaska,4y bach,30.93,39.64
Alaska,4y bach,46.67,38.62
Alaska,4y bach,51.27,41
Alaska,4y bach,67.67,35.75
Alaska,4y bach,62.23,33.62
Alaska,4y bach,62.38,36.24
Alaska,4y bach,51.97,42.28
Alaska,4y bach,51.01,41
Alaska,4y bach,27.31,37.59
Alaska,4y bach,49.22,35.64
Alaska,4y bach,50.18,34.23
Alaska,4y bach,58.98,34.23
Alaska,4y bach,35.29,39.32
Alaska,4y bach,30.12,38.9
Alaska,4y bach,36.5,33.73
Alaska,4y bach,34.03,36.44
Alaska,4y bach,23.01,39.74
Alaska,4y bach,27.19,39.25
Alaska,4y bach,27.06,38.68
Alaska,4y bach,61.21,42.79
Alaska,4y bach,30.9,34.47
Alaska,4y bach,27.94,33.39
Alaska,4y bach,54.35,37.25
Alaska,4y bach,25.78,39.41
Alaska,4y bach,46.05,35.66
Alaska,4y bach,41.55,40.86
Alaska,4y bach,36.98,35.75
Alaska,4y bach,40.64,35.22
Alaska,4y bach,30.36,42.59
Alaska,4y bach,63.39,37.61
Alaska,4y bach,43.19,39.54
Alaska,4y bach,62.25,33.64
Alaska,4y bach,44.54,37.41
Alaska,4y bach,35.63,39.07
Alaska,4y bach,46.46,42.86
Alaska,4y bach,57.96,39.29
Alaska,4y bach,50.2,39.17
Alaska,4y bach,65.66,38.64
Alaska,4y bach,58.95,34.99
Alaska,4y bach,23.28,41.85
Alaska,4y bach,53.61,38.72
Alaska,4y bach,45.72,39.66
Alaska,4y bach,49.63,39.53
Alaska,4y bach,66.88,35.57
Alaska,4y bach,30.16,39.06
Alaska,4y bach,30.7,40.27
Alaska,4y bach,64.45,33.36
Alaska,4y bach,50.36,39.24
Alaska,4y bach,37.82,42.75
Alaska,4y bach,24.86,40.07
Alaska,4y bach,59.1,39.36
Alaska,4y bach,28.72,37.38
Alaska,4y bach,33.99,42.41
Alaska,4y bach,36.94,42.33
Alaska,4y bach,50.85,33.93
Alaska,4y bach,54.83,37.14
Alaska,4y bach,53.46,34.54
Alaska,4y bach,25.75,41.62
Alaska,4y bach,55.53,40.59
Alaska,4y bach,30.1,40.54
Alaska,4y bach,59.03,42.38
Alaska,4y bach,32.8,37.95
Alaska,4y bach,43.61,35.54
Alaska,4y bach,54.01,37.14
Alaska,4y bach,49.06,41.66
Alaska,4y bach,60.23,38.12
Alaska,4y bach,40.25,38.66
Alaska,4y bach,35.15,33.75
Alaska,4y bach,65.64,34.92
Alaska,4y bach,29.37,42.66
Alaska,4y bach,29.54,42.9
Alaska,4y bach,45.01,36.44
Alaska,4y bach,41.86,35.24
Alaska,4y bach,52.4,41.26
Alaska,4y bach,63.06,42.84
Alaska,4y bach,45.3,39.43
Alaska,4y bach,35.12,38.77
Alaska,4y bach,43.2,40.12
Alaska,4y bach,30.05,42.4
Alaska,4y bach,28.97,42.51
Alaska,4y bach,30.2,41.36
Alaska,4y bach,52.7,39.6
Alaska,4y bach,31.12,37.1
Alaska,4y bach,44.99,36.49
Alaska,4y bach,36.9,33.23
Alaska,4y bach,58.62,33.24
Alaska,4y bach,61.44,33.2
Alaska,4y bach,51.32,36.3
Arizona,4y bach,61.69,36.45
Arizona,4y bach,50.42,42.91
Arizona,4y bach,50.3,39.35
Arizona,4y bach,46.51,38.86
Arizona,4y bach,31.31,33.7
Arizona,4y bach,29.36,36.24
Arizona,4y bach,57.73,35.03
Arizona,4y bach,34.09,34.47
Arizona,4y bach,23.88,34.7
Arizona,4y bach,31.3,42.48
Arizona,4y bach,49.31,42.52
Arizona,4y bach,27.19,42.65
Arizona,4y bach,51.53,38.14
Arizona,4y bach,55.18,38.08
Arizona,4y bach,62.85,34.47
Arizona,4y bach,60.13,39.67
Arizona,4y bach,64.48,38.3
Arizona,4y bach,52.59,33.45
Arizona,4y bach,40.74,39.98
Arizona,4y bach,59.7,39.6
Arizona,4y bach,37.66,41.51
Arizona,4y bach,34.73,35.61
Arizona,4y bach,65.04,38.71
Arizona,4y bach,34.2,40.76
Arizona,4y bach,52.61,42.06
Arizona,4y bach,32.24,40.66
Arizona,4y bach,46.81,40.56
Arizona,4y bach,34.37,33.9
Arizona,4y bach,55.36,40.31
Arizona,4y bach,50.48,34.59
Arizona,4y bach,57.58,40.69
Arizona,4y bach,44.33,33.13
Arizona,4y bach,60.81,36.18
Arizona,4y bach,36.57,40.77
Arizona,4y bach,65.19,33.03
Arizona,4y bach,36.41,33.59
Arizona,4y bach,53.77,36.35
Arizona,4y bach,23,36.72
Arizona,4y bach,28.27,39.13
Arizona,4y bach,49.87,42.26
Arizona,4y bach,28.97,42.52
Arizona,4y bach,62.68,39.86
Arizona,4y bach,44.95,33.37
Arizona,4y bach,65.15,39.38
Arizona,4y bach,24.86,34.06
Arizona,4y bach,46.23,34.83
Arizona,4y bach,26.57,33.51
Arizona,4y bach,66.38,34.1
Arizona,4y bach,38.48,42.06
Arizona,4y bach,62.56,37.99
Arizona,4y bach,37.15,36.36
Arizona,4y bach,59.48,39.81
Arizona,4y bach,38.23,40.13
Arizona,4y bach,26.77,40.07
Arizona,4y bach,53.5,38.94
Arizona,4y bach,28.02,38.39
Arizona,4y bach,61.26,41.9
Arizona,4y bach,42.46,39.65
Arizona,4y bach,40.08,37.28
Arizona,4y bach,58.42,41.74
Arizona,4y bach,42.4,39.47
Arizona,4y bach,58.84,36.89
Arizona,4y bach,67.59,36.6
Arizona,4y bach,54.42,37.59
Arizona,4y bach,60.97,39.15
Arizona,4y bach,31.45,35.62
Arizona,4y bach,58.61,37.8
Arizona,4y bach,45.54,40.85
Arizona,4y bach,31.76,34.47
Arizona,4y bach,59.77,36.77
Arizona,4y bach,26.28,39.7
Arizona,4y bach,57.16,39.27
Arizona,4y bach,55.35,40.87
Arizona,4y bach,45.26,39.21
Arizona,4y bach,44.75,41.55
Arizona,4y bach,33.54,33.49
Arizona,4y bach,58.37,40.9
Arizona,4y bach,56.87,36.22
Arizona,4y bach,63.32,38.91
Arizona,4y bach,44.68,35.3
Arizona,4y bach,26.92,39.53
Arizona,4y bach,23.61,41.32
Arizona,4y bach,24.97,39.53
Arizona,4y bach,51.16,37.47
Arizona,4y bach,64.73,40.85
Arizona,4y bach,51.54,40.8
Arizona,4y bach,42.42,40.36
Arizona,4y bach,34.33,42.19
Arizona,4y bach,42.8,40.66
Arizona,4y bach,63.8,35
Arizona,4y bach,27.67,38.23
Arizona,4y bach,35.36,33.12
Arizona,4y bach,30.57,36.89
Arizona,4y bach,58.62,35.7
Arizona,4y bach,56.31,39.59
Arizona,4y bach,38.33,38.54
Arizona,4y bach,55.58,42.14
Arizona,4y bach,39.24,33.72
Arizona,4y bach,53.3,33.12
Arizona,4y bach,44.3,39.64
Arizona,4y bach,23.35,41.47
Arizona,4y bach,31.76,42.64
Arizona,4y bach,45.58,41.32
Arizona,4y bach,38.24,39.01
Arizona,4y bach,66.87,33.69
Arizona,4y bach,62.42,33.72
Arizona,4y bach,23.58,35.09
Arizona,4y bach,52.84,35.87
Arizona,4y bach,38.81,41.97
Arizona,4y bach,45.58,37.16
Arizona,4y bach,46.17,34.31
Arizona,4y bach,44.5,42.48
Arizona,4y bach,35.23,35.19
Arizona,4y bach,25.8,33
Arizona,4y bach,44.58,36.11
Arizona,4y bach,23.01,42.03
Arizona,4y bach,43.4,40.07
Arizona,4y bach,30.8,35.09
Arizona,4y bach,37.24,41.64
Arizona,4y bach,64.83,42.97
Arizona,4y bach,46.13,38.55
Arizona,4y bach,25.91,41.48
Arizona,4y bach,27.34,34.61
Arizona,4y bach,64.59,35.16
Arizona,4y bach,28.13,36.15
Arizona,4y bach,62.93,39.42
Arizona,4y bach,40.11,38.27
Arizona,4y bach,66.23,37.3
Arizona,4y bach,61.26,35.07
Arizona,4y bach,28.13,39.06
Arizona,4y bach,24.01,33.55
Arizona,4y bach,46.73,38.22
Arizona,4y bach,43.43,36.99
Arizona,4y bach,37.38,39.41
Arizona,4y bach,32.52,33.5
Arizona,4y bach,61.67,33.7
Arizona,4y bach,39.07,41.57
Arizona,4y bach,27.71,35.46
Arizona,4y bach,24.63,40.16
Arizona,4y bach,46.24,39.17
Arizona,4y bach,26.68,34.47
Arizona,4y bach,49.73,34.86
Arizona,4y bach,32.07,35.19
Arizona,4y bach,43.15,34.81
Arizona,4y bach,25.43,35.27
Arizona,4y bach,23.61,38.74
Arizona,4y bach,29.57,35.69
Arizona,4y bach,52.16,38.29
Arizona,4y bach,60.75,35.26
Arizona,4y bach,58.69,33.27
Arizona,4y bach,59.43,41.41
Arizona,4y bach,61.29,34.63
Arizona,4y bach,27.76,40.76
Arizona,4y bach,35.88,40.56
Arizona,4y bach,55.52,41.01
Arizona,4y bach,29,40.66
Arizona,4y bach,58.13,33.84
Arizona,4y bach,44.52,34.32
Arizona,4y bach,59.07,41.36
Arizona,4y bach,66.67,39.72
Arizona,4y bach,24.99,42.97
Arizona,4y bach,33.55,40.94
Arkansas,4y bach,56.23,41.47
Arkansas,4y bach,61.23,40.96
Arkansas,4y bach,46.97,39.04
Arkansas,4y bach,43.92,41.43
Arkansas,4y bach,31.2,35.97
Arkansas,4y bach,45.75,35.37
Arkansas,4y bach,42.24,36.29
Arkansas,4y bach,59.78,33.28
Arkansas,4y bach,52.74,37.49
Arkansas,4y bach,64.74,41.79
Arkansas,4y bach,40.57,40.1
Arkansas,4y bach,31.52,37.44
Arkansas,4y bach,67.13,36.69
Arkansas,4y bach,30.75,39.38
Arkansas,4y bach,59.99,38
Arkansas,4y bach,54.07,38.86
Arkansas,4y bach,29.46,41.36
Arkansas,4y bach,32.59,37.81
Arkansas,4y bach,35.82,33.05
Arkansas,4y bach,58.44,35.7
Arkansas,4y bach,58.34,37.31
Arkansas,4y bach,48.08,38.29
Arkansas,4y bach,50.65,35.99
Arkansas,4y bach,57.39,34.19
Arkansas,4y bach,44.42,39.63
Arkansas,4y bach,66.02,40.44
Arkansas,4y bach,41.2,37.94
Arkansas,4y bach,37.27,34.93
Arkansas,4y bach,48.66,36.41
Arkansas,4y bach,61.76,33.17
Arkansas,4y bach,66.02,39.25
Arkansas,4y bach,57.95,33.06
Arkansas,4y bach,49.33,40.74
Arkansas,4y bach,41.34,34.76
Arkansas,4y bach,32.88,36.71
Arkansas,4y bach,29.06,40.27
Arkansas,4y bach,41.12,34.54
Arkansas,4y bach,31.14,33.61
Arkansas,4y bach,24.26,39.16
Arkansas,4y bach,39.76,39.97
Arkansas,4y bach,49.32,37.68
Arkansas,4y bach,28.84,39.75
Arkansas,4y bach,46.51,39.83
Arkansas,4y bach,43.71,37.07
Arkansas,4y bach,42.85,39.36
Arkansas,4y bach,50.85,33.95
Arkansas,4y bach,43.85,41.47
Arkansas,4y bach,28.35,38.64
Arkansas,4y bach,50.26,37.48
Arkansas,4y bach,41.65,42.48
Arkansas,4y bach,66.77,42.69
Arkansas,4y bach,37.17,40.96
Arkansas,4y bach,44.35,35.37
Arkansas,4y bach,40.67,39.02
Arkansas,4y bach,51.12,38.19
Arkansas,4y bach,67.34,40.66
Arkansas,4y bach,40.7,37.09
Arkansas,4y bach,37.55,36.97
Arkansas,4y bach,65.98,38.42
Arkansas,4y bach,57.55,42.71
Arkansas,4y bach,23.77,34.92
Arkansas,4y bach,32.82,37.54
Arkansas,4y bach,55.32,39.43
Arkansas,4y bach,60.57,34.84
Arkansas,4y bach,28.4,42.92
Arkansas,4y bach,46.93,38.15
Arkansas,4y bach,56.41,39.29
Arkansas,4y bach,41.23,42.48
Arkansas,4y bach,23.43,38.2
Arkansas,4y bach,37.13,39.16
Arkansas,4y bach,52.07,33.35
Arkansas,4y bach,63.93,37.77
Arkansas,4y bach,60.14,36.68
Arkansas,4y bach,53.35,33.72
Arkansas,4y bach,35.72,33.33
Arkansas,4y bach,52.25,37.5
Arkansas,4y bach,56.51,42.35
Arkansas,4y bach,65.57,38.24
Arkansas,4y bach,67.75,33.74
Arkansas,4y bach,39.5,36.23
Arkansas,4y bach,49.06,41.53
Arkansas,4y bach,46.52,38.1
Arkansas,4y bach,67.4,33.97
Arkansas,4y bach,50.26,39.27
Arkansas,4y bach,46.6,41.83
Arkansas,4y bach,41.54,40.11
Arkansas,4y bach,61.7,34.1
Arkansas,4y bach,39.17,40.34
Arkansas,4y bach,61.72,40.46
Arkansas,4y bach,30.4,33.71
Arkansas,4y bach,61.85,38.21
Arkansas,4y bach,42.46,42.14
Arkansas,4y bach,41.12,40.56
Arkansas,4y bach,59,35.13
Arkansas,4y bach,66.86,39.83
Arkansas,4y bach,62.29,38.19
Arkansas,4y bach,45.09,38.27
Arkansas,4y bach,30.84,42.71
Arkansas,4y bach,38.65,33.53
Arkansas,4y bach,51.68,36.36
Arkansas,4y bach,31.06,37.54
Arkansas,4y bach,55.04,35.58
Arkansas,4y bach,41.26,40.42
Arkansas,4y bach,53.1,40.82
Arkansas,4y bach,61.4,38.37
Arkansas,4y bach,34.12,36.36
Arkansas,4y bach,31.91,35.8
Arkansas,4y bach,48.94,40.27
Arkansas,4y bach,51.44,34.91
Arkansas,4y bach,39.33,40.28
Arkansas,4y bach,42.44,36.69
Arkansas,4y bach,53.53,33.88
Arkansas,4y bach,56.52,41.52
Arkansas,4y bach,32.07,38.15
Arkansas,4y bach,55.06,41.83
Arkansas,4y bach,23.84,34.33
Arkansas,4y bach,41.9,36.73
Arkansas,4y bach,62.4,41.97
Arkansas,4y bach,29.41,42.68
Arkansas,4y bach,38.8,33.59
Arkansas,4y bach,47.48,40.33
Arkansas,4y bach,31.26,36.37
Arkansas,4y bach,67.68,39.17
Arkansas,4y bach,29.39,42.97
Arkansas,4y bach,59.11,39.78
Arkansas,4y bach,38.87,40.47
Arkansas,4y bach,43.6,33.3
Arkansas,4y bach,53.38,40.11
Arkansas,4y bach,65.76,38.71
Arkansas,4y bach,46.25,34.09
Arkansas,4y bach,60.1,35.38
Arkansas,4y bach,34.87,34.65
Arkansas,4y bach,40.36,39.6
Arkansas,4y bach,32.68,33.48
Arkansas,4y bach,60.66,33.27
Arkansas,4y bach,37.29,34.4
Arkansas,4y bach,38.95,34.31
Arkansas,4y bach,29.5,40.57
Arkansas,4y bach,49.45,42.73
Arkansas,4y bach,46.77,41.3
Arkansas,4y bach,36.73,34.43
Arkansas,4y bach,30.47,41.31
Arkansas,4y bach,58.89,36.12
Arkansas,4y bach,39.21,42.68
Arkansas,4y bach,47.91,38.21
Arkansas,4y bach,64.58,38.19
Arkansas,4y bach,33.79,36.11
Arkansas,4y bach,58.62,33.91
Arkansas,4y bach,28.31,36.83
Arkansas,4y bach,24.87,33.95
Arkansas,4y bach,36.2,37.78
Arkansas,4y bach,41.63,34.17
Arkansas,4y bach,26.58,40.65
Arkansas,4y bach,39.25,33.31
Arkansas,4y bach,24.74,41.44
Arkansas,4y bach,23.44,35.77
Arkansas,4y bach,35.64,41.65
Arkansas,4y bach,38.26,42.15
Arkansas,4y bach,61.21,33.32
Arkansas,4y bach,54.76,35.04
Arkansas,4y bach,57.71,33.99
Arkansas,4y bach,66.75,35.41
California,4y bach,50.59,37.61
California,4y bach,23.59,35.19
California,4y bach,65.94,34.55
California,4y bach,61.22,40.94
California,4y bach,32.7,42.92
California,4y bach,52.64,33.79
California,4y bach,40.38,37.4
California,4y bach,51,33.46
California,4y bach,50.37,38.71
California,4y bach,55.14,40.84
California,4y bach,61.35,41.18
California,4y bach,54.27,39.51
California,4y bach,47.7,39.86
California,4y bach,42.34,39.83
California,4y bach,66.24,40.55
California,4y bach,65.48,38.39
California,4y bach,53.5,33.31
California,4y bach,28.5,41.77
California,4y bach,45.32,35.33
California,4y bach,63.03,41.69
California,4y bach,34.94,34.67
California,4y bach,59.09,36.01
California,4y bach,46.67,41.26
California,4y bach,43.3,38.86
California,4y bach,44.94,42.48
California,4y bach,37.75,38.17
California,4y bach,45.54,36.49
California,4y bach,66.17,42.15
California,4y bach,59.18,34.77
California,4y bach,51.24,35.2
California,4y bach,31.25,42.01
California,4y bach,43.12,42.59
California,4y bach,58.75,39.08
California,4y bach,35.85,36.56
California,4y bach,30.08,33.66
California,4y bach,44.26,38.78
California,4y bach,34.54,34.98
California,4y bach,25.28,36.92
California,4y bach,42.35,36.83
California,4y bach,50.38,39.71
California,4y bach,30.25,39.72
California,4y bach,37.56,39.96
California,4y bach,57.43,40.84
California,4y bach,50.71,38.82
California,4y bach,57.6,38.44
California,4y bach,65.04,34.36
California,4y bach,25,39.6
California,4y bach,31.95,42.54
California,4y bach,67.4,40.09
California,4y bach,49.48,36.32
California,4y bach,60.02,41.12
California,4y bach,28.42,37.9
California,4y bach,34.18,36.78
California,4y bach,43.41,36.86
California,4y bach,41.55,37.17
California,4y bach,39.8,36.72
California,4y bach,40.6,35.6
California,4y bach,47.79,42.44
California,4y bach,39.71,36.81
California,4y bach,62.34,34.81
California,4y bach,55.5,42.83
California,4y bach,52.04,42.71
California,4y bach,39.44,36.2
California,4y bach,53.95,33.71
California,4y bach,45.38,35.95
California,4y bach,67.31,40.87
California,4y bach,62.68,38.6
California,4y bach,40.79,36.65
California,4y bach,23.2,38.51
California,4y bach,40.78,33.37
California,4y bach,35.05,34.79
California,4y bach,47.06,41.04
California,4y bach,59.28,36.02
California,4y bach,27.08,39.56
California,4y bach,58.94,33.6
California,4y bach,54.59,40.1
California,4y bach,56.51,33.86
California,4y bach,43.82,34.6
California,4y bach,26.61,40.77
California,4y bach,54.18,41.47
California,4y bach,58.31,34.09
California,4y bach,27.06,33.88
California,4y bach,67.82,38.07
California,4y bach,33.31,38.92
California,4y bach,24.74,39.74
California,4y bach,53.81,38.44
California,4y bach,46.21,34.2
California,4y bach,48.52,34.08
California,4y bach,32.97,40.57
California,4y bach,41.97,37.24
California,4y bach,26.06,38.05
California,4y bach,43.74,35.24
California,4y bach,45.34,34.33
California,4y bach,30.27,34.91
California,4y bach,39.84,40.39
California,4y bach,49.01,38.68
California,4y bach,57.46,36.31
California,4y bach,49.67,36.6
California,4y bach,67.24,41.22
California,4y bach,48.6,34.21
California,4y bach,55.34,41.68
California,4y bach,61.09,40.77
California,4y bach,57.62,37.74
California,4y bach,37.75,39.37
California,4y bach,46.94,36.11
California,4y bach,43.56,41.93
California,4y bach,42.87,40.55
California,4y bach,49.02,35.86
California,4y bach,45.82,40.6
California,4y bach,46.06,36.62
California,4y bach,33.95,38.98
California,4y bach,44.9,33.44
California,4y bach,26.43,35.44
California,4y bach,30.93,33.55
California,4y bach,39.22,37.33
California,4y bach,34.51,37.87
California,4y bach,37.26,39.26
California,4y bach,49.91,33.22
California,4y bach,63.97,42.9
California,4y bach,23.86,37.55
California,4y bach,33.94,33.74
California,4y bach,25.54,33.14
California,4y bach,54.1,38.05
California,4y bach,42.17,42.22
California,4y bach,57.53,41.63
California,4y bach,33.32,41.13
California,4y bach,27.53,38.56
California,4y bach,67.08,34.47
California,4y bach,41.56,33.9
California,4y bach,34.86,35.89
California,4y bach,52.83,39.48
California,4y bach,25.71,33.61
California,4y bach,43.45,41.07
California,4y bach,26.01,41.16
California,4y bach,25.47,41.98
California,4y bach,23.9,38.85
California,4y bach,47.63,38.31
California,4y bach,48.42,35.17
California,4y bach,53.07,34.56
California,4y bach,53.32,37.13
California,4y bach,52.76,39.12
California,4y bach,40.99,34.84
California,4y bach,66.98,38.2
California,4y bach,36.68,41.31
